0x000000,0x000831
0x000001,0x001C20
0x000002,0x000000
0x000003,0x000004
0x000004,0x000004
0x000005,0x7FFFF1
0x000006,0x7FFFF0
0x000007,0x000000
0x000008,0x000000
0x000009,0x000000
0x00000A,0x000000
0x00000B,0x000000
0x220001,0x810000
0x00000D,0x0028F6
0x00000E,0x3B20D8
0x00000F,0x000002
0x000010,0x7FFFFF
0x000011,0x0028F6
0x000012,0x187DE3
0x000013,0x000002
0x000014,0x7FFFFF
0x000015,0x000000
0x000016,0x04322A
0x000017,0x7EB852
0x000018,0x7BEE7B
0x000019,0x04322A
0x00001A,0x006D0B
0x00001B,0x100000
0x00001C,0x9DC83B
0x00001D,0x000000
0x00001E,0x834ED4
0x00001F,0x000000
0x000020,0xBFD919
0x000021,0xBFD919
0x000022,0xBFD919
0x000023,0xBFD919
0x000024,0xBFD919
0x000025,0xBFD919
0x000026,0xBFD919
0x000027,0x000001
0x000028,0x000000
0x000029,0x000001
0x00002A,0x000003
0x00002B,0x000000
0x00002C,0x000000
0x00002D,0x000000
0x00002E,0x000000
0x00002F,0x000000
0x000030,0x000000
0x000031,0x4CCCCD
0x000032,0x400000
0x000033,0x7FFFFF
0x000034,0x5AE148
0x000035,0x266666
0x000036,0x266666
0x000037,0x400000
0x000038,0x266666
0x000039,0x266666
0x00003A,0x000003
0x00003B,0x000000
0x00003C,0x000000
0x00003D,0x000000
0x00003E,0x000000
0x00003F,0x000000
0x000040,0x000002
0x000041,0x666666
0x000042,0x400000
0x000043,0x333333
0x000044,0x600000
0x000045,0x800001
0x000046,0x000000
0x000047,0x800001
0x000048,0x000000
0x000049,0xBFD919
0x00004A,0xBFD919
0x00004B,0xBFD919
0x00004C,0xBFD919
0x00004D,0xBFD919
0x00004E,0xBFD919
0x00004F,0xE00000
0x000050,0x04322A
0x000051,0x7EB852
0x000052,0x7C0000
0x000053,0x04322A
0x000054,0x006D0B
0x000055,0x0809BD
0x000056,0x100E04
0x000057,0x32D67E
0x000058,0x100000
0x000059,0x000000
0x00005A,0x000000
0x00005B,0x055555
0x00005C,0x5A85F9
0x00005D,0x000000
0x00005E,0x055555
0x00005F,0x5A85F9
0x000060,0x000000
0x000061,0x055555
0x000062,0x5A85F9
0x000063,0x000000
0x000064,0x007AE1
0x000065,0x3B20D8
0x000066,0x000000
0x000067,0x7FFFFF
0x000068,0x007AE1
0x000069,0x187DE3
0x00006A,0x000000
0x00006B,0x7FFFFF
0x00006C,0xE00000
0x00006D,0x008889
0x00006E,0x3B20D8
0x00006F,0x000002
0x000070,0x7FFFFF
0x000071,0x008889
0x000072,0x187DE3
0x000073,0x000002
0x000074,0x7FFFFF
0x000075,0x055555
0x000076,0x5A85F9
0x000077,0x000000
0x000078,0x055555
0x000079,0x5A85F9
0x00007A,0x000000
0x00007B,0x055555
0x00007C,0x5A85F9
0x00007D,0x000000
0x00007E,0x0147AE
0x00007F,0x3B20D8
0x000080,0x000000
0x000081,0x7FFFFF
0x000082,0x0147AE
0x000083,0x187DE3
0x000084,0x000000
0x000085,0x7FFFFF
0x000086,0x04322A
0x000087,0x7EB852
0x000088,0x7C0000
0x000089,0x04322A
0x00008A,0x006D0B
0x00008B,0x100000
0x00008C,0x800001
0x00008D,0x7FFFFF
0x00008E,0xC0E09D
0x00008F,0x03E793
0x000090,0x80AB20
0x000091,0xF1FEB3
0x000092,0xE00000
0x000093,0x800001
0x000094,0x800001
0x000095,0x7FFFFF
0x000096,0x800001
0x000097,0x800001
0x000098,0x7FFFFF
0x000099,0xBFD919
0x00009A,0x000000
0x00009B,0xBFD919
0x00009C,0x000000
0x00009D,0x800001
0x00009E,0x7FFFFF
0x00009F,0x015555
0x0000A0,0x3B20D8
0x0000A1,0x000002
0x0000A2,0x7FFFFF
0x0000A3,0x015555
0x0000A4,0x187DE3
0x0000A5,0x000002
0x0000A6,0x7FFFFF
0x0000A7,0x015555
0x0000A8,0x3B20D8
0x0000A9,0x000002
0x0000AA,0x7FFFFF
0x0000AB,0x015555
0x0000AC,0x187DE3
0x0000AD,0x000002
0x0000AE,0x7FFFFF
0x0000AF,0x9DC83B
0x0000B0,0x000000
0x0000B1,0x834ED4
0x0000B2,0x000000
0x0000B3,0x9DC83B
0x0000B4,0x000000
0x0000B5,0x834ED4
0x0000B6,0x000000
0x0000B7,0x015555
0x0000B8,0x3B20D8
0x0000B9,0x000002
0x0000BA,0x7FFFFF
0x0000BB,0x015555
0x0000BC,0x187DE3
0x0000BD,0x000002
0x0000BE,0x7FFFFF
0x0000BF,0x015555
0x0000C0,0x3B20D8
0x0000C1,0x000002
0x0000C2,0x7FFFFF
0x0000C3,0x015555
0x0000C4,0x187DE3
0x0000C5,0x000002
0x0000C6,0x7FFFFF
0x0000C7,0x0D5555
0x0000C8,0x3B20D8
0x0000C9,0xC00000
0x0000CA,0x7FFFFF
0x0000CB,0x0D5555
0x0000CC,0x2D413D
0x0000CD,0x000000
0x0000CE,0x7FFFFF
0x0000CF,0x0D5555
0x0000D0,0x3B20D8
0x0000D1,0xC00000
0x0000D2,0x7FFFFF
0x0000D3,0x0D5555
0x0000D4,0x2D413D
0x0000D5,0x000000
0x0000D6,0x7FFFFF
0x0000D7,0x055555
0x0000D8,0x5A85F9
0x0000D9,0x000000
0x0000DA,0x055555
0x0000DB,0x5A85F9
0x0000DC,0x000000
0x0000DD,0x055555
0x0000DE,0x5A85F9
0x0000DF,0x000000
0x0000E0,0x055555
0x0000E1,0x5A85F9
0x0000E2,0x000000
0x0000E3,0x055555
0x0000E4,0x5A85F9
0x0000E5,0x000000
0x0000E6,0x055555
0x0000E7,0x5A85F9
0x0000E8,0x000000
0x0000E9,0x055555
0x0000EA,0x5A85F9
0x0000EB,0x000000
0x0000EC,0x055555
0x0000ED,0x5A85F9
0x0000EE,0x000000
0x0000EF,0x055555
0x0000F0,0x5A85F9
0x0000F1,0x000000
0x0000F2,0x055555
0x0000F3,0x5A85F9
0x0000F4,0x000000
0x0000F5,0x0D5555
0x0000F6,0x3B20D8
0x0000F7,0x000000
0x0000F8,0x7FFFFF
0x0000F9,0x0D5555
0x0000FA,0x187DE3
0x0000FB,0x000000
0x0000FC,0x7FFFFF
0x0000FD,0x0D5555
0x0000FE,0x3B20D8
0x0000FF,0x000000
0x000100,0x7FFFFF
0x000101,0x0D5555
0x000102,0x187DE3
0x000103,0x000000
0x000104,0x7FFFFF
0x000105,0x0007FF
0x000106,0x0004B0
0x000107,0x0007FF
0x000108,0x0004B0
0x000109,0x800001
0x00010A,0x7FFFFF
0x00010B,0xC0E09D
0x00010C,0x03E793
0x00010D,0x80AB20
0x00010E,0xF1FEB3
0x00010F,0xE00000
0x000110,0x800001
0x000111,0x800001
0x000112,0x7FFFFF
0x000113,0x800001
0x000114,0x055555
0x000115,0x5A85F9
0x000116,0x000000
0x000117,0x055555
0x000118,0x5A85F9
0x000119,0x000000
0x00011A,0x055555
0x00011B,0x5A85F9
0x00011C,0x000000
0x00011D,0x055555
0x00011E,0x5A85F9
0x00011F,0x000000
0x000120,0x055555
0x000121,0x5A85F9
0x000122,0x000000
0x000123,0x055555
0x000124,0x5A85F9
0x000125,0x000000
0x000126,0x9DC83B
0x000127,0x000000
0x000128,0x834ED4
0x000129,0x000000
0x00012A,0x9DC83B
0x00012B,0x000000
0x00012C,0x834ED4
0x00012D,0x000000
0x00012E,0xBFD919
0x00012F,0xBFD919
0x000130,0xE00000
0x000131,0x006D3A
0x000132,0x3B20D8
0x000133,0x000002
0x000134,0x7FFFFF
0x000135,0x006D3A
0x000136,0x187DE3
0x000137,0x000002
0x000138,0x7FFFFF
0x000139,0x0147AE
0x00013A,0x3B20D8
0x00013B,0x000000
0x00013C,0x7FFFFF
0x00013D,0x0147AE
0x00013E,0x187DE3
0x00013F,0x000000
0x000140,0x7FFFFF
0x000141,0x055555
0x000142,0x5A85F9
0x000143,0x000000
0x000144,0x055555
0x000145,0x5A85F9
0x000146,0x000000
0x000147,0x055555
0x000148,0x5A85F9
0x000149,0x000000
0x00014A,0xE00000
0x00014B,0x04322A
0x00014C,0x7EB852
0x00014D,0x7C0000
0x00014E,0x04322A
0x00014F,0x006D0B
0x000150,0x100000
0x000151,0x04322A
0x000152,0x7EB852
0x000153,0x7C0000
0x000154,0x04322A
0x000155,0x006D0B
0x000156,0x100000
0x000157,0x04322A
0x000158,0x7EB852
0x000159,0x7C0000
0x00015A,0x04322A
0x00015B,0x006D0B
0x00015C,0x100000
0x00015D,0x04322A
0x00015E,0x7EB852
0x00015F,0x7C0000
0x000160,0x04322A
0x000161,0x006D0B
0x000162,0x100000
0x000163,0x0003FF
0x000164,0x0003C0
0x000165,0x0003FF
0x000166,0x0003C0
0x000167,0x0003FF
0x000168,0x0003C0
0x000169,0x0003FF
0x00016A,0x0003C0
0x00016B,0x800001
0x00016C,0x800001
0x00016D,0x800001
0x00016E,0x800001
0x00016F,0x800001
0x000170,0x800001
0x000171,0x800001
0x000172,0x800001
0x000173,0xE00000
0x000174,0x04322A
0x000175,0x7EB852
0x000176,0x7C0000
0x000177,0x04322A
0x000178,0x006D0B
0x000179,0x100000
0x00017A,0x04322A
0x00017B,0x7EB852
0x00017C,0x7C0000
0x00017D,0x04322A
0x00017E,0x006D0B
0x00017F,0x100000
0x000180,0xBFD919
0x000181,0xBFD919
0x000182,0xBFD919
0x000183,0xBFD919
0x000184,0xBFD919
0x000185,0xBFD919
0x000186,0x0D5555
0x000187,0x3B20D8
0x000188,0x000002
0x000189,0x7FFFFF
0x00018A,0x0D5555
0x00018B,0x187DE3
0x00018C,0x000002
0x00018D,0x7FFFFF
0x00018E,0x0D5555
0x00018F,0x3B20D8
0x000190,0x000002
0x000191,0x7FFFFF
0x000192,0x0D5555
0x000193,0x187DE3
0x000194,0x000002
0x000195,0x7FFFFF
0x000196,0x055555
0x000197,0x5A85F9
0x000198,0x000000
0x000199,0x055555
0x00019A,0x5A85F9
0x00019B,0x000000
0x00019C,0x055555
0x00019D,0x5A85F9
0x00019E,0x000000
0x00019F,0x055555
0x0001A0,0x5A85F9
0x0001A1,0x000000
0x0001A2,0x055555
0x0001A3,0x5A85F9
0x0001A4,0x000000
0x0001A5,0x055555
0x0001A6,0x5A85F9
0x0001A7,0x000000
0x0001A8,0x0162FD
0x0001A9,0x3B20D8
0x0001AA,0x000002
0x0001AB,0x7FFFFF
0x0001AC,0x0162FD
0x0001AD,0x187DE3
0x0001AE,0x000002
0x0001AF,0x7FFFFF
0x0001B0,0x055555
0x0001B1,0x3B20D8
0x0001B2,0x000002
0x0001B3,0x7FFFFF
0x0001B4,0x055555
0x0001B5,0x187DE3
0x0001B6,0x000002
0x0001B7,0x7FFFFF
0x0001B8,0x055555
0x0001B9,0x5A85F9
0x0001BA,0x000000
0x0001BB,0x055555
0x0001BC,0x5A85F9
0x0001BD,0x000000
0x0001BE,0x055555
0x0001BF,0x5A85F9
0x0001C0,0x000000
0x0001C1,0x055555
0x0001C2,0x5A85F9
0x0001C3,0x000000
0x0001C4,0x055555
0x0001C5,0x5A85F9
0x0001C6,0x000000
0x0001C7,0x055555
0x0001C8,0x5A85F9
0x0001C9,0x000000
0x0001CA,0x055555
0x0001CB,0x5A85F9
0x0001CC,0x000000
0x0001CD,0x055555
0x0001CE,0x5A85F9
0x0001CF,0x000000
0x0001D0,0x055555
0x0001D1,0x5A85F9
0x0001D2,0x000000
0x0001D3,0x055555
0x0001D4,0x5A85F9
0x0001D5,0x000000
0x0001D6,0xFCA74C
0x0001D7,0x055555
0x0001D8,0x5A85F9
0x0001D9,0x000000
0x0001DA,0x055555
0x0001DB,0x5A85F9
0x0001DC,0x000000
0x0001DD,0x055555
0x0001DE,0x5A85F9
0x0001DF,0x000000
0x0001E0,0x055555
0x0001E1,0x5A85F9
0x0001E2,0x000000
0x0001E3,0xBFD919
0x0001E4,0xBFD919
0x0001E5,0x0147AE
0x0001E6,0x3B20D8
0x0001E7,0x000002
0x0001E8,0x7FFFFF
0x0001E9,0x0147AE
0x0001EA,0x187DE3
0x0001EB,0x000002
0x0001EC,0x7FFFFF
0x0001ED,0x055555
0x0001EE,0x5A85F9
0x0001EF,0x000000
0x0001F0,0x055555
0x0001F1,0x5A85F9
0x0001F2,0x000000
0x0001F3,0x055555
0x0001F4,0x5A85F9
